vmax,load_scale,pv_scale,status,objective,maxgap,maxratio,n_at_vmax,min_branch_P,vpeak,exact,class,fail_reason
1.075,0.2,0.5,SOLVED,-959.2016319561249,3.829734914612137e-9,0.0022232558820438823,0,-0.6208295799685362,1.0398639031377657,true,exact,
1.075,0.2,0.7,SOLVED,-946.5907640010138,5.3221408391479486e-9,0.004532302104522302,0,-0.9515515814014972,1.0635810791546214,true,exact,
1.075,0.2,0.9,SOLVED,-934.507053474317,0.4923307530678256,5877.381079059093,1,-1.1381789969801426,1.0749999997802049,false,inexact,
1.075,0.2,1.0,SOLVED,-928.8967999784483,2.421314941950756,8671.052846537552,2,-1.2232282442041333,1.0749999998204514,false,inexact,
1.075,0.2,1.1,SOLVED,-923.5585261508635,4.353676046948437,9135.396281108997,2,-1.310046915866329,1.074999999957115,false,inexact,
1.075,0.2,1.2,SOLVED,-918.4385386082553,6.214025412953138,9296.535295928683,2,-1.3921113952467177,1.0749999999692312,false,inexact,
1.075,0.2,1.4,SOLVED,-908.8806231568121,10.182243369326843,9397.47476961839,4,-1.5667011162529971,1.0749999998651092,false,inexact,
1.075,0.2,1.6,SOLVED,-900.1580149061646,13.507683233411823,9400.00462991421,5,-1.7182793142322694,1.0749999998637412,false,inexact,
1.075,0.2,2.0,SOLVED,-884.3502455022389,13.341575411200154,9848.883079789244,7,-1.8806469652685471,1.0749999999550865,false,inexact,
1.075,0.3,0.3,SOLVED,-986.5680792834085,4.122203174725808e-9,0.0035720975016412205,0,-0.13308468405610724,1.0009462655303416,true,exact,
1.075,0.3,0.5,SOLVED,-973.4128226781017,1.8808034547325436e-8,0.01705859185486812,0,-0.48608107526646077,1.027094321038777,true,exact,
1.075,0.3,0.7,SOLVED,-960.6133180235497,5.962036723691777e-10,0.0004950010394219403,0,-0.8238263913301475,1.0515804579102674,true,exact,
1.075,0.3,0.9,SOLVED,-948.1247158377897,1.0127373661905636e-9,0.0006067062934806057,0,-1.1471816915461375,1.0745831026804948,true,exact,
